village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified
207,Kelong,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1556657,93.4203969,29.760483727401677,control (non-VVP),True
208,Sareng,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1433941,93.4071107,29.84548995566294,control (non-VVP),True
209,Chera,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.105217,93.352456,30.219240718372365,control (non-VVP),True
210,Nayap,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1058646,93.3579216,30.42071611647499,control (non-VVP),True
211,Sitam,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.0986373,93.3539313,30.94261716358287,control (non-VVP),True
212,Hiniyum,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.127374,93.403807,31.006555528107075,control (non-VVP),True
213,Cheya,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.0965707,93.3537616,31.140459629545745,control (non-VVP),True
214,Lubupa,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.0922288,93.3535062,31.56238320170134,control (non-VVP),True
215,胡巴,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1242982,93.411274,31.749148583931046,control (non-VVP),True
216,Bamo,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.0971546,93.3686732,31.80894289293791,control (non-VVP),True
217,Dania,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1225512,93.411611,31.92237461715165,control (non-VVP),True
218,Hala,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.1166163,93.416693,32.76244093369174,control (non-VVP),True
219,Pilpu,Kurung Kumey,Unknown,Arunachal Pradesh,True,28.0798871,93.3655125,33.35440212614204,control (non-VVP),True
